MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Nova Araçá,"3.150,00","5.832,00",176.8,123.76,31.82,9.02,6.45,2.65,1.77,0.94,0.19,0.09,0.09,264,-28.6537,-51.7458
Nova Aurora,"19.845,00","38.845,00",1134.41,794.09,204.19,57.85,41.41,17.02,11.34,6.01,1.25,0.6,0.6,869,-18.0597,-48.2552
Nova Bandeirantes,"2.765,00","5.793,00",163.48,114.44,29.43,8.34,5.97,2.45,1.63,0.87,0.18,0.09,0.09,214,-9.84977,-57.8139
Nova Bassano,"4.826,00","9.471,00",274.29,192.01,49.37,13.99,10.01,4.11,2.74,1.45,0.3,0.15,0.15,413,-28.7291,-51.7072
Nova Belém,"441,00","672,00",23.05,16.14,4.15,1.18,0.84,0.35,0.23,0.12,0.03,0.01,0.01,32,-18.4925,-41.1107
Nova Boa Vista,"1.138,00","2.246,00",64.78,45.34,11.66,3.3,2.36,0.97,0.65,0.34,0.07,0.03,0.03,139,-27.9926,-52.9784
Nova Brasilândia,"519,00","929,00",28.22,19.76,5.08,1.44,1.03,0.42,0.28,0.15,0.03,0.01,0.01,58,-14.9612,-54.9685
Nova Brasilândia D'Oeste,"1.991,00","3.884,00",114.15,79.9,20.55,5.82,4.17,1.71,1.14,0.6,0.13,0.06,0.06,200,-11.7247,-62.3127
Nova Bréscia,"3.444,00","7.692,00",208.25,145.78,37.49,10.62,7.6,3.12,2.08,1.1,0.23,0.11,0.11,208,-29.2182,-52.0319
Nova Campina,"423,00","1.078,00",26.84,18.79,4.83,1.37,0.98,0.4,0.27,0.14,0.03,0.01,0.01,14,-24.1224,-48.9022
Nova Canaã,"320,00","653,00",20.36,14.25,3.66,1.04,0.74,0.31,0.2,0.11,0.02,0.01,0.01,38,-14.7912,-40.1458
Nova Canaã Paulista,"340,00","673,00",19.78,13.85,3.56,1.01,0.72,0.3,0.2,0.1,0.02,0.01,0.01,44,-20.3836,-50.9483
Nova Canaã do Norte,"4.165,00","7.181,00",225.68,157.97,40.62,11.51,8.24,3.39,2.26,1.2,0.25,0.12,0.12,397,-10.558,-55.953
Nova Candelária,"2.394,00","4.626,00",135.38,94.76,24.37,6.9,4.94,2.03,1.35,0.72,0.15,0.07,0.07,296,-27.6137,-54.1074
