MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Bragança,"3.727,00","6.275,00",201.39,140.98,36.25,10.27,7.35,3.02,2.01,1.07,0.22,0.11,0.11,371,-1.06126,-46.7826
Bragança Paulista,"16.739,00","30.003,00",927.45,649.22,166.94,47.3,33.85,13.91,9.27,4.92,1.02,0.49,0.49,1355,-22.9527,-46.5419
Branquinha,"472,00","772,00",23.64,16.54,4.25,1.21,0.86,0.35,0.24,0.13,0.03,0.01,0.01,12,-9.23342,-36.0162
Brasil Novo,"1.184,00","2.008,00",64.04,44.83,11.53,3.27,2.34,0.96,0.64,0.34,0.07,0.03,0.03,126,-3.29792,-52.534
Brasileira,"271,00","456,00",14.35,10.05,2.58,0.73,0.52,0.22,0.14,0.08,0.02,0.01,0.01,54,-4.1337,-41.7859
Brasilândia,"2.762,00","5.303,00",155.51,108.86,27.99,7.93,5.68,2.33,1.56,0.82,0.17,0.08,0.08,214,-21.2544,-52.0365
Brasilândia de Minas,"6.765,00","14.990,00",400.16,280.11,72.03,20.41,14.61,6.0,4.0,2.12,0.44,0.21,0.21,277,-16.9999,-46.0081
Brasilândia do Sul,"1.402,00","2.643,00",78.19,54.74,14.08,3.99,2.85,1.17,0.78,0.41,0.09,0.04,0.04,125,-24.1978,-53.5275
Brasilândia do Tocantins,"344,00","529,00",17.97,12.58,3.23,0.92,0.66,0.27,0.18,0.1,0.02,0.01,0.01,17,-8.38918,-48.4822
Brasiléia,"1.988,00","3.098,00",101.26,70.88,18.23,5.16,3.7,1.52,1.01,0.54,0.11,0.05,0.05,74,-10.995,-68.7497
Brasnorte,"8.399,00","18.101,00",506.48,354.53,91.17,25.83,18.49,7.6,5.06,2.68,0.56,0.27,0.27,361,-12.1474,-57.9833
Brasília,"293.981,00","871.029,00",20880.46,14616.32,3758.48,1064.9,762.14,313.21,208.8,110.67,22.97,11.07,11.07,17212,-15.7795,-47.9297
Brasília de Minas,"9.023,00","27.454,00",664.23,464.96,119.56,33.88,24.24,9.96,6.64,3.52,0.73,0.35,0.35,268,-16.2104,-44.4299
Brazabrantes,"684,00","1.088,00",36.23,25.36,6.52,1.85,1.32,0.54,0.36,0.19,0.04,0.02,0.02,35,-16.4281,-49.3863
Brazópolis,"1.764,00","3.597,00",101.28,70.89,18.23,5.17,3.7,1.52,1.01,0.54,0.11,0.05,0.05,190,-22.4743,-45.6166
Braço do Norte,"12.243,00","26.071,00",726.16,508.32,130.71,37.03,26.51,10.89,7.26,3.85,0.8,0.38,0.38,688,-28.2681,-49.1701
Braço do Trombudo,"1.397,00","3.887,00",88.75,62.12,15.97,4.53,3.24,1.33,0.89,0.47,0.1,0.05,0.05,38,-27.3586,-49.8821
Braúna,"885,00","1.664,00",50.05,35.03,9.01,2.55,1.83,0.75,0.5,0.27,0.06,0.03,0.03,120,-21.499,-50.3175
Braúnas,"1.751,00","4.475,00",106.75,74.72,19.21,5.44,3.9,1.6,1.07,0.57,0.12,0.06,0.06,95,-19.0562,-42.7099
Brejetuba,"1.937,00","3.078,00",102.94,72.06,18.53,5.25,3.76,1.54,1.03,0.55,0.11,0.05,0.05,113,-20.1395,-41.2954
Brejinho,"1.504,00","3.178,00",89.71,62.8,16.15,4.58,3.27,1.35,0.9,0.48,0.1,0.05,0.05,150,-7.34694,-37.2865
Brejinho de Nazaré,"647,00","1.147,00",35.88,25.11,6.46,1.83,1.31,0.54,0.36,0.19,0.04,0.02,0.02,46,-11.0058,-48.5683
Brejo,"838,00","1.509,00",46.36,32.45,8.34,2.36,1.69,0.7,0.46,0.25,0.05,0.02,0.02,80,-3.67796,-42.7527
Brejo Alegre,"446,00","724,00",23.56,16.49,4.24,1.2,0.86,0.35,0.24,0.12,0.03,0.01,0.01,36,-21.1651,-50.1861
Brejo Grande,"121,00","186,00",6.44,4.51,1.16,0.33,0.24,0.1,0.06,0.03,0.01,0.0,0.0,6,-10.4297,-36.4611
Brejo Grande do Araguaia,"352,00","537,00",18.18,12.73,3.27,0.93,0.66,0.27,0.18,0.1,0.02,0.01,0.01,39,-5.69822,-48.4103
Brejo Santo,"3.213,00","5.678,00",176.75,123.73,31.82,9.01,6.45,2.65,1.77,0.94,0.19,0.09,0.09,280,-7.48469,-38.9799
Brejo da Madre de Deus,"3.625,00","6.268,00",197.36,138.15,35.52,10.07,7.2,2.96,1.97,1.05,0.22,0.1,0.1,318,-8.14933,-36.3741
Brejo de Areia,"127,00","231,00",6.89,4.82,1.24,0.35,0.25,0.1,0.07,0.04,0.01,0.0,0.0,16,-4.334,-45.581
Brejo do Cruz,"1.791,00","3.874,00",106.7,74.69,19.21,5.44,3.89,1.6,1.07,0.57,0.12,0.06,0.06,208,-6.34185,-37.4943
Brejo do Piauí,"277,00","464,00",14.93,10.45,2.69,0.76,0.55,0.22,0.15,0.08,0.02,0.01,0.01,38,-8.20314,-42.8229
Brejo dos Santos,"263,00","470,00",14.47,10.13,2.6,0.74,0.53,0.22,0.14,0.08,0.02,0.01,0.01,41,-6.37065,-37.8253
Brejolândia,"342,00","529,00",17.68,12.38,3.18,0.9,0.65,0.27,0.18,0.09,0.02,0.01,0.01,57,-12.4815,-43.9679
Brejão,"613,00","1.166,00",34.39,24.08,6.19,1.75,1.26,0.52,0.34,0.18,0.04,0.02,0.02,45,-9.02915,-36.566
Brejões,"245,00","383,00",12.86,9.0,2.31,0.66,0.47,0.19,0.13,0.07,0.01,0.01,0.01,21,-13.1039,-39.7988
Breu Branco,"3.227,00","5.380,00",171.61,120.13,30.89,8.75,6.26,2.57,1.72,0.91,0.19,0.09,0.09,301,-3.77191,-49.5735
Breves,"4.773,00","7.370,00",249.55,174.68,44.92,12.73,9.11,3.74,2.5,1.32,0.27,0.13,0.13,511,-1.68036,-50.4791
Britânia,"2.644,00","4.391,00",140.72,98.51,25.33,7.18,5.14,2.11,1.41,0.75,0.15,0.07,0.07,157,-15.2428,-51.1602
Brochier,"2.430,00","5.184,00",144.17,100.92,25.95,7.35,5.26,2.16,1.44,0.76,0.16,0.08,0.08,240,-29.5501,-51.5945
Brodowski,"7.716,00","12.990,00",422.31,295.61,76.02,21.54,15.41,6.33,4.22,2.24,0.46,0.22,0.22,335,-20.9845,-47.6572
Brotas,"4.748,00","10.097,00",289.95,202.97,52.19,14.79,10.58,4.35,2.9,1.54,0.32,0.15,0.15,598,-22.2795,-48.1251
Brotas de Macaúbas,"2.024,00","5.556,00",134.96,94.47,24.29,6.88,4.93,2.02,1.35,0.72,0.15,0.07,0.07,302,-11.9915,-42.6326
Brumadinho,"6.728,00","13.038,00",383.62,268.53,69.05,19.56,14.0,5.75,3.84,2.03,0.42,0.2,0.2,956,-20.151,-44.2007
Brumado,"14.728,00","39.447,00",964.94,675.46,173.69,49.21,35.22,14.47,9.65,5.11,1.06,0.51,0.51,1754,-14.2021,-41.6696
Brunópolis,"287,00","632,00",16.52,11.56,2.97,0.84,0.6,0.25,0.17,0.09,0.02,0.01,0.01,16,-27.3058,-50.8684
Brusque,"9.555,00","19.489,00",533.96,373.77,96.11,27.23,19.49,8.01,5.34,2.83,0.59,0.28,0.28,723,-27.0977,-48.9107
Brás Pires,"971,00","1.747,00",53.63,37.54,9.65,2.73,1.96,0.8,0.54,0.28,0.06,0.03,0.03,59,-20.8419,-43.2406
Bueno Brandão,"1.408,00","2.271,00",74.86,52.4,13.48,3.82,2.73,1.12,0.75,0.4,0.08,0.04,0.04,168,-22.4383,-46.3491
Buenos Aires,"251,00","411,00",13.51,9.46,2.43,0.69,0.49,0.2,0.14,0.07,0.01,0.01,0.01,26,-7.72449,-35.3182
Buenópolis,"924,00","1.703,00",51.18,35.82,9.21,2.61,1.87,0.77,0.51,0.27,0.06,0.03,0.03,93,-17.8744,-44.1775
Buerarema,"429,00","704,00",23.45,16.42,4.22,1.2,0.86,0.35,0.23,0.12,0.03,0.01,0.01,54,-14.9595,-39.3028
Bugre,"519,00","1.050,00",30.1,21.07,5.42,1.53,1.1,0.45,0.3,0.16,0.03,0.02,0.02,70,-19.4231,-42.2552
Bujari,"313,00","493,00",16.4,11.48,2.95,0.84,0.6,0.25,0.16,0.09,0.02,0.01,0.01,21,-9.81528,-67.955
Bujaru,"661,00","1.035,00",35.03,24.52,6.31,1.79,1.28,0.53,0.35,0.19,0.04,0.02,0.02,37,-1.51762,-48.0381
Buri,"4.220,00","8.047,00",242.85,169.99,43.71,12.39,8.86,3.64,2.43,1.29,0.27,0.13,0.13,141,-23.7977,-48.5958
Buritama,"4.518,00","13.307,00",316.43,221.5,56.96,16.14,11.55,4.75,3.16,1.68,0.35,0.17,0.17,783,-21.0661,-50.1475
Buriti,"520,00","779,00",26.46,18.52,4.76,1.35,0.97,0.4,0.26,0.14,0.03,0.01,0.01,26,-3.94169,-42.9179
Buriti Alegre,"3.080,00","6.233,00",178.74,125.12,32.17,9.12,6.52,2.68,1.79,0.95,0.2,0.09,0.09,283,-18.1378,-49.0404
Buriti Bravo,"374,00","560,00",19.43,13.6,3.5,0.99,0.71,0.29,0.19,0.1,0.02,0.01,0.01,40,-5.83239,-43.8353
Buriti de Goiás,"710,00","1.205,00",38.37,26.86,6.91,1.96,1.4,0.58,0.38,0.2,0.04,0.02,0.02,78,-16.1792,-50.4302
Buriti do Tocantins,"681,00","1.077,00",35.08,24.56,6.32,1.79,1.28,0.53,0.35,0.19,0.04,0.02,0.02,63,-5.31448,-48.2271
Buriti dos Lopes,"1.000,00","1.838,00",56.6,39.62,10.19,2.89,2.07,0.85,0.57,0.3,0.06,0.03,0.03,113,-3.18259,-41.8695
Buriti dos Montes,"218,00","418,00",12.19,8.53,2.19,0.62,0.45,0.18,0.12,0.06,0.01,0.01,0.01,25,-5.30584,-41.0933
Buriticupu,"2.751,00","6.348,00",173.15,121.2,31.17,8.83,6.32,2.6,1.73,0.92,0.19,0.09,0.09,225,-4.32375,-46.4409
Buritinópolis,"35,00","55,00",1.76,1.23,0.32,0.09,0.06,0.03,0.02,0.01,0.0,0.0,0.0,3,-14.4772,-46.4076
Buritirama,"388,00","804,00",22.95,16.07,4.13,1.17,0.84,0.34,0.23,0.12,0.03,0.01,0.01,36,-10.7171,-43.6302
Buritirana,"502,00","999,00",29.48,20.63,5.31,1.5,1.08,0.44,0.29,0.16,0.03,0.02,0.02,46,-5.59823,-47.0131
Buritis,"9.017,00","17.458,00",510.95,357.66,91.97,26.06,18.65,7.66,5.11,2.71,0.56,0.27,0.27,599,-15.6218,-46.4221
Buritizal,"973,00","1.897,00",57.87,40.51,10.42,2.95,2.11,0.87,0.58,0.31,0.06,0.03,0.03,156,-20.1911,-47.7096
Buritizeiro,"14.732,00","52.974,00",1172.08,820.46,210.97,59.78,42.78,17.58,11.72,6.21,1.29,0.62,0.62,254,-17.3656,-44.9606
Butiá,"3.190,00","6.602,00",186.52,130.56,33.57,9.51,6.81,2.8,1.87,0.99,0.21,0.1,0.1,360,-30.1179,-51.9601
Buíque,"1.561,00","2.506,00",81.1,56.77,14.6,4.14,2.96,1.22,0.81,0.43,0.09,0.04,0.04,150,-8.61954,-37.1606
Bálsamo,"1.344,00","2.508,00",75.36,52.76,13.57,3.84,2.75,1.13,0.75,0.4,0.08,0.04,0.04,166,-20.7348,-49.5865
Caapiranga,"56,00","83,00",2.79,1.95,0.5,0.14,0.1,0.04,0.03,0.01,0.0,0.0,0.0,6,-3.31537,-61.2206
Caaporã,"476,00","795,00",25.44,17.81,4.58,1.3,0.93,0.38,0.25,0.13,0.03,0.01,0.01,47,-7.51351,-34.9055
Caarapó,"17.229,00","38.396,00",1047.29,733.11,188.51,53.41,38.23,15.71,10.47,5.55,1.15,0.56,0.56,930,-22.6368,-54.8209
Caatiba,"146,00","223,00",7.62,5.33,1.37,0.39,0.28,0.11,0.08,0.04,0.01,0.0,0.0,20,-14.9699,-40.4092
Cabaceiras,"236,00","623,00",15.86,11.1,2.86,0.81,0.58,0.24,0.16,0.08,0.02,0.01,0.01,10,-7.48899,-36.287
Cabaceiras do Paraguaçu,"739,00","1.127,00",38.14,26.69,6.86,1.94,1.39,0.57,0.38,0.2,0.04,0.02,0.02,42,-12.5317,-39.1902
Cabeceira Grande,"1.165,00","1.857,00",61.37,42.96,11.05,3.13,2.24,0.92,0.61,0.33,0.07,0.03,0.03,73,-16.0335,-47.0862
Cabeceiras,"456,00","683,00",23.35,16.34,4.2,1.19,0.85,0.35,0.23,0.12,0.03,0.01,0.01,52,-15.7995,-46.9265
Cabeceiras do Piauí,"521,00","1.114,00",31.2,21.84,5.62,1.59,1.14,0.47,0.31,0.17,0.03,0.02,0.02,54,-4.4773,-42.3069
Cabedelo,"12.894,00","30.300,00",826.18,578.32,148.71,42.13,30.16,12.39,8.26,4.38,0.91,0.44,0.44,1014,-6.98731,-34.8284
Cabixi,"959,00","2.276,00",61.72,43.2,11.11,3.15,2.25,0.93,0.62,0.33,0.07,0.03,0.03,79,-13.4945,-60.552
Cabo Frio,"17.671,00","48.569,00",1186.91,830.84,213.64,60.53,43.32,17.8,11.87,6.29,1.31,0.63,0.63,2254,-22.8894,-42.0286
Cabo Verde,"2.049,00","3.875,00",114.65,80.25,20.64,5.85,4.18,1.72,1.15,0.61,0.13,0.06,0.06,144,-21.4699,-46.3919
Cabo de Santo Agostinho,"11.097,00","19.747,00",611.02,427.71,109.98,31.16,22.3,9.17,6.11,3.24,0.67,0.32,0.32,1214,-8.28218,-35.0253
Cabreúva,"4.025,00","10.323,00",260.68,182.47,46.92,13.29,9.51,3.91,2.61,1.38,0.29,0.14,0.14,323,-23.3053,-47.1362
Cabrobó,"3.039,00","5.824,00",169.88,118.91,30.58,8.66,6.2,2.55,1.7,0.9,0.19,0.09,0.09,333,-8.50548,-39.3094
Cabrália Paulista,"432,00","676,00",22.36,15.65,4.02,1.14,0.82,0.34,0.22,0.12,0.02,0.01,0.01,28,-22.4576,-49.3393
Cacaulândia,"1.050,00","1.914,00",57.18,40.03,10.29,2.92,2.09,0.86,0.57,0.3,0.06,0.03,0.03,93,-10.349,-62.9043
Cacequi,"3.099,00","6.197,00",179.81,125.87,32.37,9.17,6.56,2.7,1.8,0.95,0.2,0.1,0.1,300,-29.8883,-54.822
Cachoeira,"1.106,00","2.106,00",62.66,43.86,11.28,3.2,2.29,0.94,0.63,0.33,0.07,0.03,0.03,88,-12.5994,-38.9587
Cachoeira Alta,"1.917,00","4.090,00",114.42,80.09,20.6,5.84,4.18,1.72,1.14,0.61,0.13,0.06,0.06,164,-18.7618,-50.9432
Cachoeira Dourada,"2.681,00","8.581,00",199.5,139.65,35.91,10.17,7.28,2.99,1.99,1.06,0.22,0.11,0.11,334,-18.4859,-49.4766
Cachoeira Grande,"19,00","27,00",0.94,0.66,0.17,0.05,0.03,0.01,0.01,0.01,0.0,0.0,0.0,2,-2.93074,-44.0528
Cachoeira Paulista,"5.139,00","11.085,00",315.47,220.83,56.78,16.09,11.51,4.73,3.15,1.67,0.35,0.17,0.17,183,-22.6665,-45.0154
Cachoeira da Prata,"5.974,00","9.513,00",311.83,218.28,56.13,15.9,11.38,4.68,3.12,1.65,0.34,0.17,0.17,633,-19.521,-44.4544
Cachoeira de Goiás,"139,00","262,00",7.9,5.53,1.42,0.4,0.29,0.12,0.08,0.04,0.01,0.0,0.0,14,-16.6635,-50.646
Cachoeira de Minas,"1.464,00","2.279,00",75.92,53.14,13.67,3.87,2.77,1.14,0.76,0.4,0.08,0.04,0.04,134,-22.3511,-45.7809
Cachoeira de Pajeú,"623,00","2.424,00",56.34,39.44,10.14,2.87,2.06,0.85,0.56,0.3,0.06,0.03,0.03,31,-15.9688,-41.4948
Cachoeira do Arari,"294,00","428,00",14.98,10.49,2.7,0.76,0.55,0.22,0.15,0.08,0.02,0.01,0.01,13,-1.01226,-48.9503
Cachoeira do Piriá,"121,00","182,00",6.14,4.29,1.1,0.31,0.22,0.09,0.06,0.03,0.01,0.0,0.0,9,-1.75974,-46.5459
Cachoeira do Sul,"19.403,00","39.867,00",1130.51,791.36,203.49,57.66,41.26,16.96,11.31,5.99,1.24,0.6,0.6,2427,-30.033,-52.8928
Cachoeira dos Índios,"445,00","976,00",26.82,18.77,4.83,1.37,0.98,0.4,0.27,0.14,0.03,0.01,0.01,43,-6.91353,-38.676
Cachoeiras de Macacu,"6.004,00","11.178,00",335.22,234.65,60.34,17.1,12.24,5.03,3.35,1.78,0.37,0.18,0.18,887,-22.4658,-42.6523
Cachoeirinha,"19.856,00","37.258,00",1112.44,778.71,200.24,56.73,40.6,16.69,11.12,5.9,1.22,0.59,0.59,2016,-8.48668,-36.2402
Cachoeiro de Itapemirim,"27.102,00","58.566,00",1635.75,1145.02,294.43,83.42,59.7,24.54,16.36,8.67,1.8,0.87,0.87,2151,-20.8462,-41.1198
Cacimba de Areia,"182,00","411,00",10.4,7.28,1.87,0.53,0.38,0.16,0.1,0.06,0.01,0.01,0.01,20,-7.12128,-37.1563
Cacimba de Dentro,"299,00","454,00",15.32,10.73,2.76,0.78,0.56,0.23,0.15,0.08,0.02,0.01,0.01,22,-6.6386,-35.7778
Cacimbas,"116,00","362,00",8.84,6.19,1.59,0.45,0.32,0.13,0.09,0.05,0.01,0.0,0.0,11,-7.20721,-37.0604
Cacimbinhas,"674,00","1.042,00",34.09,23.86,6.14,1.74,1.24,0.51,0.34,0.18,0.04,0.02,0.02,49,-9.40121,-36.9911
Cacique Doble,"1.240,00","2.297,00",69.01,48.3,12.42,3.52,2.52,1.04,0.69,0.37,0.08,0.04,0.04,192,-27.767,-51.6597
Cacoal,"25.075,00","51.589,00",1474.47,1032.13,265.4,75.2,53.82,22.12,14.74,7.81,1.62,0.78,0.78,1697,-11.4343,-61.4562
Caconde,"2.499,00","5.916,00",160.56,112.39,28.9,8.19,5.86,2.41,1.61,0.85,0.18,0.09,0.09,207,-21.528,-46.6437
Caculé,"3.594,00","10.472,00",249.15,174.4,44.85,12.71,9.09,3.74,2.49,1.32,0.27,0.13,0.13,414,-14.5003,-42.2229
Caetanos,"125,00","190,00",6.62,4.63,1.19,0.34,0.24,0.1,0.07,0.04,0.01,0.0,0.0,18,-14.3347,-40.9175
Caetanópolis,"4.443,00","8.319,00",249.22,174.45,44.86,12.71,9.1,3.74,2.49,1.32,0.27,0.13,0.13,194,-19.2971,-44.4189
Caetité,"6.935,00","14.137,00",405.05,283.54,72.91,20.66,14.78,6.08,4.05,2.15,0.45,0.21,0.21,828,-14.0684,-42.4861
Caeté,"3.215,00","6.632,00",188.15,131.7,33.87,9.6,6.87,2.82,1.88,1.0,0.21,0.1,0.1,316,-19.8826,-43.6704
Caetés,"541,00","1.021,00",30.16,21.11,5.43,1.54,1.1,0.45,0.3,0.16,0.03,0.02,0.02,66,-8.7803,-36.6268
Cafarnaum,"586,00","976,00",30.95,21.66,5.57,1.58,1.13,0.46,0.31,0.16,0.03,0.02,0.02,47,-11.6914,-41.4688
Cafeara,"1.548,00","2.507,00",82.59,57.81,14.87,4.21,3.01,1.24,0.83,0.44,0.09,0.04,0.04,75,-22.789,-51.7142
Cafelândia,"18.249,00","34.661,00",1035.36,724.75,186.36,52.8,37.79,15.53,10.35,5.49,1.14,0.55,0.55,1094,-24.6189,-53.3207
Cafezal do Sul,"2.369,00","4.724,00",135.16,94.61,24.33,6.89,4.93,2.03,1.35,0.72,0.15,0.07,0.07,184,-23.9005,-53.5124
Caiabu,"563,00","1.143,00",34.0,23.8,6.12,1.73,1.24,0.51,0.34,0.18,0.04,0.02,0.02,164,-22.0127,-51.2394
Caiana,"1.682,00","4.467,00",105.93,74.15,19.07,5.4,3.87,1.59,1.06,0.56,0.12,0.06,0.06,56,-20.6956,-41.9292
Caiapônia,"7.118,00","17.361,00",444.23,310.96,79.96,22.66,16.21,6.66,4.44,2.35,0.49,0.24,0.24,138,-16.9539,-51.8091
Caibaté,"2.318,00","5.477,00",145.12,101.59,26.12,7.4,5.3,2.18,1.45,0.77,0.16,0.08,0.08,331,-28.2905,-54.6454
Caibi,"2.142,00","6.499,00",151.92,106.35,27.35,7.75,5.55,2.28,1.52,0.81,0.17,0.08,0.08,145,-27.0741,-53.2458
Caicó,"18.804,00","58.662,00",1371.84,960.29,246.93,69.96,50.07,20.58,13.72,7.27,1.51,0.73,0.73,1851,-6.45441,-37.1067
Caieiras,"2.075,00","3.544,00",113.17,79.22,20.37,5.77,4.13,1.7,1.13,0.6,0.12,0.06,0.06,298,-23.3607,-46.7397
Cairu,"761,00","1.363,00",41.77,29.24,7.52,2.13,1.52,0.63,0.42,0.22,0.05,0.02,0.02,67,-13.4904,-39.0465
Caiuá,"716,00","1.356,00",40.54,28.38,7.3,2.07,1.48,0.61,0.41,0.21,0.04,0.02,0.02,95,-21.8322,-51.9969
Caiçara,"2.229,00","4.213,00",126.67,88.67,22.8,6.46,4.62,1.9,1.27,0.67,0.14,0.07,0.07,273,-6.62115,-35.4581
Caiçara do Norte,"284,00","452,00",15.14,10.59,2.72,0.77,0.55,0.23,0.15,0.08,0.02,0.01,0.01,26,-5.07091,-36.0717
Caiçara do Rio do Vento,"280,00","439,00",14.83,10.38,2.67,0.76,0.54,0.22,0.15,0.08,0.02,0.01,0.01,15,-5.76541,-35.9938
Cajamar,"3.311,00","5.694,00",175.71,122.99,31.63,8.96,6.41,2.64,1.76,0.93,0.19,0.09,0.09,307,-23.355,-46.8781
Cajapió,"12,00","19,00",0.66,0.47,0.12,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,2,-2.87326,-44.6741
Cajari,"18,00","27,00",0.9,0.63,0.16,0.05,0.03,0.01,0.01,0.0,0.0,0.0,0.0,3,-3.32742,-45.0145
Cajati,"917,00","1.981,00",55.86,39.1,10.06,2.85,2.04,0.84,0.56,0.3,0.06,0.03,0.03,74,-24.7324,-48.1223
Cajazeiras,"11.684,00","28.519,00",728.15,509.71,131.07,37.14,26.58,10.92,7.28,3.86,0.8,0.39,0.39,1054,-6.88004,-38.5577
Cajazeiras do Piauí,"46,00","65,00",2.24,1.56,0.4,0.11,0.08,0.03,0.02,0.01,0.0,0.0,0.0,6,-6.79667,-42.3903
Cajazeirinhas,"316,00","485,00",16.21,11.34,2.92,0.83,0.59,0.24,0.16,0.09,0.02,0.01,0.01,20,-6.96016,-37.8009
Cajobi,"1.469,00","2.351,00",77.02,53.91,13.86,3.93,2.81,1.16,0.77,0.41,0.08,0.04,0.04,160,-20.8773,-48.8063
Cajueiro,"625,00","935,00",31.6,22.12,5.69,1.61,1.15,0.47,0.32,0.17,0.03,0.02,0.02,43,-9.3994,-36.1559
Cajueiro da Praia,"1.031,00","1.775,00",55.3,38.71,9.95,2.82,2.02,0.83,0.55,0.29,0.06,0.03,0.03,86,-2.93111,-41.3408
Cajuri,"377,00","700,00",20.34,14.24,3.66,1.04,0.74,0.31,0.2,0.11,0.02,0.01,0.01,28,-20.7903,-42.7925
Cajuru,"5.150,00","9.884,00",293.35,205.34,52.8,14.96,10.71,4.4,2.93,1.55,0.32,0.16,0.16,365,-21.2749,-47.303
Caldas,"2.535,00","7.306,00",179.64,125.75,32.34,9.16,6.56,2.69,1.8,0.95,0.2,0.1,0.1,174,-21.9183,-46.3843
Caldas Brandão,"64,00","99,00",3.37,2.36,0.61,0.17,0.12,0.05,0.03,0.02,0.0,0.0,0.0,8,-7.1025,-35.3272
Caldas Novas,"32.049,00","98.940,00",2281.3,1596.91,410.63,116.35,83.27,34.22,22.81,12.09,2.51,1.21,1.21,2816,-17.7441,-48.6246
Caldazinha,"713,00","1.095,00",37.15,26.0,6.69,1.89,1.36,0.56,0.37,0.2,0.04,0.02,0.02,68,-16.7117,-49.0013
Caldeirão Grande,"106,00","171,00",5.58,3.9,1.0,0.28,0.2,0.08,0.06,0.03,0.01,0.0,0.0,16,-11.0208,-40.2956
Caldeirão Grande do Piauí,"193,00","322,00",10.18,7.13,1.83,0.52,0.37,0.15,0.1,0.05,0.01,0.01,0.01,30,-7.3314,-40.6366
Califórnia,"1.511,00","3.144,00",89.66,62.76,16.14,4.57,3.27,1.34,0.9,0.48,0.1,0.05,0.05,99,-23.6566,-51.3574
Calmon,"17,00","33,00",0.95,0.66,0.17,0.05,0.03,0.01,0.01,0.01,0.0,0.0,0.0,2,-26.5942,-51.095
Calumbi,"375,00","681,00",20.97,14.68,3.77,1.07,0.77,0.31,0.21,0.11,0.02,0.01,0.01,66,-7.93551,-38.1482
Calçado,"419,00","634,00",21.61,15.13,3.89,1.1,0.79,0.32,0.22,0.11,0.02,0.01,0.01,20,-8.73108,-36.3366
Calçoene,"21,00","29,00",1.01,0.71,0.18,0.05,0.04,0.02,0.01,0.01,0.0,0.0,0.0,2,2.50475,-50.9512
Camacan,"1.120,00","2.033,00",62.17,43.52,11.19,3.17,2.27,0.93,0.62,0.33,0.07,0.03,0.03,107,-15.4142,-39.4919
Camacho,"284,00","440,00",14.6,10.22,2.63,0.74,0.53,0.22,0.15,0.08,0.02,0.01,0.01,31,-20.6294,-45.1593
Camalaú,"146,00","221,00",7.62,5.34,1.37,0.39,0.28,0.11,0.08,0.04,0.01,0.0,0.0,12,-7.88503,-36.8242
Camamu,"911,00","1.724,00",50.84,35.59,9.15,2.59,1.86,0.76,0.51,0.27,0.06,0.03,0.03,47,-13.9398,-39.1071
Camanducaia,"7.822,00","13.194,00",428.7,300.09,77.17,21.86,15.65,6.43,4.29,2.27,0.47,0.23,0.23,210,-22.7515,-46.1494
Camapuã,"5.019,00","8.531,00",271.31,189.92,48.84,13.84,9.9,4.07,2.71,1.44,0.3,0.14,0.14,395,-19.5347,-54.0431
Camaquã,"11.043,00","21.293,00",626.62,438.63,112.79,31.96,22.87,9.4,6.27,3.32,0.69,0.33,0.33,1287,-30.8489,-51.8043
Camaragibe,"10.708,00","19.597,00",597.8,418.46,107.6,30.49,21.82,8.97,5.98,3.17,0.66,0.32,0.32,1327,-8.02351,-34.9782
Camargo,"2.366,00","5.927,00",152.13,106.49,27.38,7.76,5.55,2.28,1.52,0.81,0.17,0.08,0.08,134,-28.588,-52.2003
Camaçari,"46.147,00","161.526,00",3552.2,2486.54,639.4,181.16,129.66,53.28,35.52,18.83,3.91,1.88,1.88,6053,-12.6996,-38.3263
Cambará,"5.229,00","11.887,00",318.26,222.78,57.29,16.23,11.62,4.77,3.18,1.69,0.35,0.17,0.17,371,-23.0423,-50.0753
Cambará do Sul,"1.198,00","2.325,00",68.13,47.69,12.26,3.47,2.49,1.02,0.68,0.36,0.07,0.04,0.04,105,-29.0474,-50.1465
Cambira,"2.668,00","4.683,00",145.08,101.56,26.11,7.4,5.3,2.18,1.45,0.77,0.16,0.08,0.08,157,-23.589,-51.5792
Camboriú,"2.227,00","6.421,00",151.19,105.84,27.21,7.71,5.52,2.27,1.51,0.8,0.17,0.08,0.08,154,-27.0241,-48.6503
Cambuci,"1.948,00","3.952,00",113.06,79.14,20.35,5.77,4.13,1.7,1.13,0.6,0.12,0.06,0.06,260,-21.5691,-41.9187
Cambuquira,"1.292,00","3.006,00",80.19,56.13,14.43,4.09,2.93,1.2,0.8,0.42,0.09,0.04,0.04,200,-21.854,-45.2896
Cambuí,"2.876,00","6.285,00",174.52,122.16,31.41,8.9,6.37,2.62,1.75,0.92,0.19,0.09,0.09,207,-22.6115,-46.0572
Cambé,"23.469,00","47.696,00",1382.42,967.7,248.84,70.5,50.46,20.74,13.82,7.33,1.52,0.73,0.73,1477,-23.2766,-51.2798
Cametá,"4.118,00","6.836,00",218.71,153.1,39.37,11.15,7.98,3.28,2.19,1.16,0.24,0.12,0.12,373,-2.24295,-49.4979
